=== Mahjong Replay [Episode 9950] ===
Time: 20251211-162417 | Winner: Agent 1 | Reward: 3.00 | Type: Standard
Laizi: 夏 -> ['春', '秋', '冬']
================================================================================

--- Step 000 | Agent 0 performs: DRAWS a tile ---
👉 A0: ['2万', '6万', '7万', '8万', '3筒', '6筒', '8筒', '1索', '4索', '9索', '东', '北', '中', '发'] | Melds: []
   A1: ['3万', '4万', '5万', '5万', '7万', '8万', '7筒', '2索', '2索', '3索', '5索', '7索', '中'] | Melds: []
   A2: ['9万', '3筒', '5筒', '7筒', '8筒', '9筒', '1索', '2索', '2索', '7索', '南', '西', '白'] | Melds: []
   A3: ['5万', '6万', '1筒', '6筒', '7筒', '8筒', '5索', '9索', '东', '北', '中', '发', '白'] | Melds: []

--- Step 001 | Agent 0 performs: Discard 3筒 ---
👉 A0: ['2万', '6万', '7万', '8万', '3筒', '6筒', '8筒', '1索', '4索', '9索', '东', '北', '中', '发'] | Melds: []
   A1: ['3万', '4万', '5万', '5万', '7万', '8万', '7筒', '2索', '2索', '3索', '5索', '7索', '中'] | Melds: []
   A2: ['9万', '3筒', '5筒', '7筒', '8筒', '9筒', '1索', '2索', '2索', '7索', '南', '西', '白'] | Melds: []
   A3: ['5万', '6万', '1筒', '6筒', '7筒', '8筒', '5索', '9索', '东', '北', '中', '发', '白'] | Melds: []

--- Step 002 | Agent 1 performs: DRAWS a tile ---
   A0: ['2万', '6万', '7万', '8万', '6筒', '8筒', '1索', '4索', '9索', '东', '北', '中', '发'] | Melds: []
👉 A1: ['1万', '3万', '4万', '5万', '5万', '7万', '8万', '7筒', '2索', '2索', '3索', '5索', '7索', '中'] | Melds: []
   A2: ['9万', '3筒', '5筒', '7筒', '8筒', '9筒', '1索', '2索', '2索', '7索', '南', '西', '白'] | Melds: []
   A3: ['5万', '6万', '1筒', '6筒', '7筒', '8筒', '5索', '9索', '东', '北', '中', '发', '白'] | Melds: []

--- Step 003 | Agent 1 performs: Discard 7索 ---
   A0: ['2万', '6万', '7万', '8万', '6筒', '8筒', '1索', '4索', '9索', '东', '北', '中', '发'] | Melds: []
👉 A1: ['1万', '3万', '4万', '5万', '5万', '7万', '8万', '7筒', '2索', '2索', '3索', '5索', '7索', '中'] | Melds: []
   A2: ['9万', '3筒', '5筒', '7筒', '8筒', '9筒', '1索', '2索', '2索', '7索', '南', '西', '白'] | Melds: []
   A3: ['5万', '6万', '1筒', '6筒', '7筒', '8筒', '5索', '9索', '东', '北', '中', '发', '白'] | Melds: []

--- Step 004 | Agent 2 performs: DRAWS a tile ---
   A0: ['2万', '6万', '7万', '8万', '6筒', '8筒', '1索', '4索', '9索', '东', '北', '中', '发'] | Melds: []
   A1: ['1万', '3万', '4万', '5万', '5万', '7万', '8万', '7筒', '2索', '2索', '3索', '5索', '中'] | Melds: []
👉 A2: ['9万', '2筒', '3筒', '5筒', '7筒', '8筒', '9筒', '1索', '2索', '2索', '7索', '南', '西', '白'] | Melds: []
   A3: ['5万', '6万', '1筒', '6筒', '7筒', '8筒', '5索', '9索', '东', '北', '中', '发', '白'] | Melds: []

--- Step 005 | Agent 2 performs: Discard 2索 ---
   A0: ['2万', '6万', '7万', '8万', '6筒', '8筒', '1索', '4索', '9索', '东', '北', '中', '发'] | Melds: []
   A1: ['1万', '3万', '4万', '5万', '5万', '7万', '8万', '7筒', '2索', '2索', '3索', '5索', '中'] | Melds: []
